epoch,acc,loss,val_acc,val_loss
0,0.8702683917878529,0.35758827159848855,0.9272260273972602,0.2267197284924045
1,0.9245482249786142,0.22870029700590158,0.9106378424657534,0.2448908109728196
2,0.9332763045337895,0.2022497214000892,0.9339683219178082,0.21021852408510264
3,0.9380346449957229,0.18916757788247818,0.9302761130136986,0.20634772207536925
4,0.941456372968349,0.17954652675509555,0.923480308219178,0.23095479851894796
5,0.9445840461933276,0.17161590935641674,0.946115154109589,0.17212843673609912
6,0.9468161890504705,0.1654822810380134,0.940871147260274,0.17340417556490187
7,0.9474176646706587,0.16473528510875765,0.9473994006849316,0.1649430126768269
8,0.9500908896492729,0.15576629988113028,0.9436001712328768,0.18276294801473517
9,0.9500106928999145,0.15649542257419197,0.9463291952054794,0.16515395990636658
10,0.9505720701454234,0.15268977677212173,0.949486301369863,0.15801299664778762
11,0.9528443113772455,0.14996414508676942,0.9491652397260274,0.16142075859673627
12,0.9520156116338752,0.14934689439100216,0.9510380993150684,0.16561639307653658
13,0.9533923224978614,0.14612956702513213,0.9493792808219178,0.15774259329709697
14,0.9534858853721129,0.14370733291991022,0.9456870719178082,0.1658114988136756
15,0.9551700171086399,0.14073996921528012,0.94921875,0.16158742435939916
16,0.9534324208725407,0.14263024486177517,0.954730308219178,0.15501099670216542
17,0.9551833832335329,0.13792605007583572,0.9422624143835616,0.1759931652755668
18,0.9554640718562875,0.13794059700860783,0.9483090753424658,0.16292224322247945
19,0.9560120829769033,0.1363871280060901,0.9507170376712328,0.16353812533086293
20,0.9553571428571429,0.13492758217816606,0.9499143835616438,0.15836031009022095
21,0.9561591103507271,0.13616752650483588,0.9513591609589042,0.15449570580895938
22,0.9584179854576561,0.13062570172332552,0.9517337328767124,0.1548023348202138
23,0.957829875962361,0.1304013846144144,0.952054794520548,0.15580593465112966
24,0.9573085970915313,0.13039601319672667,0.9513056506849316,0.15459439269113928
25,0.9574021599657827,0.12997802944696157,0.9494327910958904,0.15442692473122518
26,0.9588189692044482,0.1265549226695874,0.9530714897260274,0.1632865708072555
27,0.9589392643284859,0.12638338966616983,0.9498608732876712,0.1637861131983873
28,0.9580036355859709,0.1262862831083269,0.9493257705479452,0.15965683621749893
29,0.9592734174508126,0.12417351857976552,0.9508775684931506,0.16138435528160724
30,0.959326881950385,0.12456360051067429,0.941941352739726,0.18273366799845986
31,0.9592734174508126,0.12248082127154408,0.947613441780822,0.17212774626725696
32,0.9591932207014542,0.12223569726391391,0.9513056506849316,0.1593665932608156
33,0.9598080624465355,0.12062393229373494,0.9411922089041096,0.19058326967315722
34,0.9610110136869119,0.11805621282156904,0.9505029965753424,0.1654169814029632
35,0.9603961719418306,0.11761436980039239,0.9490582191780822,0.1640456656459719
36,0.9606902266894782,0.11746474149596293,0.9482020547945206,0.17189626269240238
37,0.960650128314799,0.11746169063696833,0.9498608732876712,0.16820683674121353
38,0.9613852651839179,0.11606251616174335,0.9486301369863014,0.16777066676558494
39,0.9611045765611634,0.11545550248882804,0.9492722602739726,0.16826058491707258
40,0.9612917023096664,0.11543467325230915,0.9521083047945206,0.16284214226171784
41,0.9620268391787853,0.11372518686416748,0.948416095890411,0.16804307168477203
42,0.9612516039349872,0.11286752619457943,0.9467572773972602,0.175030659999035
43,0.9633367194183062,0.11160832180795352,0.9452054794520548,0.17773685543734122
44,0.961211505560308,0.11327272494721097,0.9462221746575342,0.17503856535528928
45,0.9621337681779298,0.11210932684512578,0.9483090753424658,0.1761682722749418
46,0.9624812874251497,0.10990506080134595,0.9456870719178082,0.18148105125236388
47,0.9629758340461934,0.10859945564155551,0.946650256849315,0.18381573598232273
48,0.9631495936698032,0.10699904921812772,0.9472923801369864,0.17435623555641927
49,0.9624946535500428,0.10733991775739782,0.9459011130136986,0.1844378706763103
